Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K60,CerialKiller,+433.96%,+328.60%,+419.10%,+43.75%,-47.50%,+578.40%,+600.00%,+2034.70%,+2661.92%,+1958.20%,+162.50%,-219.00%,+396.00%,+700.00%,+1922.85%,+1644.50%,+1180.00%,+180.50%,-194.50%,+603.00%,+501.00%,+2443.00%,+1617.00%,+879.35%,+193.00%,-192.75%,+626.00%,+442.00%,+1434.70%,+1332.70%,+920.50%,+169.50%,-184.50%,+700.00%,+307.00%,+24.00%
K60,Hitt,+289.60%,+260.10%,+285.10%,+41.50%,-41.50%,+370.52%,+328.12%,+951.00%,+1396.57%,+933.49%,+49.00%,-63.50%,+106.00%,+246.00%,+2095.20%,+1715.20%,+979.00%,+160.50%,-132.50%,+354.00%,+189.00%,+1985.00%,+1620.35%,+1069.00%,+166.75%,-136.75%,+463.00%,+216.00%,+1084.00%,+606.00%,+793.50%,+54.50%,-41.00%,+64.00%,+59.00%,+22.50%
K60,Λžtěč (Aztec),+323.10%,+248.60%,+283.10%,+43.75%,-41.50%,+477.84%,+270.08%,+1067.00%,+1378.50%,+912.99%,+49.00%,-60.00%,+103.00%,+445.00%,+2098.70%,+1792.20%,+1286.00%,+158.25%,-128.75%,+344.00%,+211.00%,+2141.00%,+1689.35%,+886.50%,+164.50%,-128.75%,+454.00%,+247.00%,+1139.00%,+682.00%,+897.50%,+47.00%,-25.00%,+126.00%,+81.00%,+24.50%
K60,MoonLight,+364.85%,+293.10%,+297.10%,+43.75%,-41.50%,+423.64%,+261.16%,+1095.00%,+1640.50%,+1080.99%,+49.00%,-67.50%,+115.00%,+256.00%,+2214.70%,+1536.20%,+1211.00%,+172.00%,-131.50%,+400.00%,+191.00%,+2132.00%,+1682.35%,+1207.50%,+189.00%,-137.75%,+486.00%,+321.00%,+1405.50%,+775.00%,+1037.50%,+68.50%,-41.00%,+86.00%,+71.00%,+22.00%
K60,KingSkorpioN,+322.85%,+227.10%,+274.10%,+43.75%,-41.50%,+465.00%,+274.08%,+1151.00%,+1493.50%,+1021.99%,+55.25%,-61.25%,+119.00%,+277.00%,+2090.20%,+1415.20%,+1110.00%,+154.75%,-128.50%,+240.00%,+142.00%,+2021.00%,+1676.35%,+1175.00%,+167.25%,-144.75%,+476.00%,+230.00%,+1256.50%,+705.00%,+946.00%,+55.50%,-41.00%,+86.00%,+68.00%,+23.50%
K60,Crixus,+303.85%,+260.10%,+267.10%,+43.75%,-40.00%,+600.00%,+268.76%,+1066.50%,+1500.50%,+974.99%,+99.00%,-113.00%,+61.00%,+171.00%,+2285.20%,+1431.20%,+1232.00%,+170.50%,-122.50%,+417.00%,+179.00%,+2116.00%,+1751.35%,+1296.50%,+177.00%,-130.00%,+475.00%,+288.00%,+1415.00%,+659.00%,+899.00%,+63.00%,-25.00%,+56.00%,+32.00%,+24.50%
K60,Ёжик,+276.60%,+280.10%,+311.10%,+41.50%,-41.50%,+600.00%,+211.00%,+1227.00%,+1393.50%,+953.99%,+55.25%,-64.75%,+99.00%,+273.00%,+2121.70%,+1548.20%,+1186.00%,+160.50%,-134.75%,+349.00%,+229.00%,+1790.00%,+1423.35%,+999.50%,+154.25%,-144.75%,+273.00%,+163.00%,+1471.00%,+650.00%,+954.50%,+53.25%,-41.00%,+157.00%,+94.00%,+23.00%
K60,༺۝Foxik۝༻,+280.10%,+231.10%,+274.60%,+41.50%,-41.50%,+386.68%,+325.48%,+1109.00%,+1460.00%,+988.49%,+55.25%,-67.00%,+109.00%,+305.00%,+2085.70%,+1731.20%,+1170.00%,+153.25%,-134.75%,+354.00%,+176.00%,+1967.00%,+1634.35%,+836.50%,+160.50%,-147.25%,+402.00%,+194.00%,+1260.00%,+618.00%,+881.50%,+51.00%,-43.50%,+80.00%,+63.00%,+23.50%
K60,Houdini,+285.60%,+239.10%,+279.10%,+41.50%,-41.50%,+368.32%,+283.52%,+884.00%,+1295.07%,+836.42%,+49.00%,-63.50%,+83.00%,+112.00%,+2041.70%,+1446.70%,+1113.50%,+156.50%,-136.50%,+229.00%,+122.00%,+1938.50%,+1669.85%,+1108.50%,+166.75%,-140.75%,+370.00%,+243.00%,+1046.00%,+545.50%,+720.50%,+54.50%,-39.00%,+47.00%,+47.00%,+24.50%
K60,Дерог,+361.46%,+289.60%,+300.10%,+43.75%,-41.50%,+588.48%,+394.72%,+1576.00%,+1824.92%,+1086.57%,+142.75%,-157.25%,+99.00%,+517.00%,+2091.50%,+1346.50%,+1054.00%,+174.00%,-134.75%,+496.00%,+350.00%,+2044.00%,+1232.00%,+936.00%,+175.50%,-136.75%,+501.00%,+225.00%,+2112.70%,+1070.70%,+1077.00%,+160.00%,-128.50%,+164.00%,+93.00%,+25.50%
K60,"#11 元气满满 (122,000)",+313.85%,+288.10%,+298.10%,+43.75%,-41.50%,+600.00%,+324.28%,+1150.00%,+1640.50%,+1146.99%,+128.50%,-154.50%,+113.00%,+264.00%,+2253.70%,+1855.20%,+1308.00%,+168.25%,-134.75%,+408.00%,+231.00%,+2184.00%,+1748.35%,+947.00%,+176.00%,-144.75%,+498.00%,+226.00%,+1493.00%,+740.00%,+1069.50%,+64.50%,-45.00%,+138.00%,+102.00%,+25.00%
K60,邪恶的Xero,+324.85%,+250.10%,+268.60%,+43.75%,-41.50%,+432.40%,+420.16%,+1016.00%,+1632.50%,+1142.99%,+136.50%,-158.50%,+101.00%,+223.00%,+2258.70%,+1746.20%,+1210.00%,+178.00%,-132.50%,+479.00%,+300.00%,+2137.00%,+1756.35%,+938.50%,+177.75%,-151.00%,+598.00%,+279.00%,+1422.00%,+687.00%,+955.50%,+156.00%,-128.50%,+103.00%,+64.00%,+25.50%
K60,AAB,+297.85%,+295.35%,+282.35%,+43.75%,-43.75%,+569.28%,+198.36%,+1177.00%,+1783.50%,+1243.99%,+142.75%,-161.75%,+113.00%,+404.00%,+2283.70%,+1832.20%,+1285.00%,+178.00%,-146.75%,+413.00%,+270.00%,+2071.00%,+1745.35%,+952.50%,+171.50%,-136.75%,+532.00%,+245.00%,+1508.00%,+714.00%,+951.50%,+152.00%,-136.50%,+129.00%,+90.00%,+24.00%
K60,"#14 元气满满 (148,500)",+332.35%,+294.10%,+309.10%,+43.75%,-41.50%,+600.00%,+600.00%,+1216.70%,+1101.07%,+1481.62%,+136.50%,-160.75%,+181.00%,+417.00%,+2497.55%,+1617.20%,+821.00%,+174.00%,-134.75%,+504.00%,+308.00%,+2305.00%,+1502.35%,+1140.35%,+177.75%,-144.75%,+537.00%,+323.00%,+2131.00%,+688.00%,+1309.50%,+165.75%,-128.50%,+419.00%,+180.00%,+25.00%
K60,InFlames,+435.60%,+337.35%,+367.85%,+47.50%,-47.50%,+407.80%,+336.36%,+1873.50%,+2157.92%,+1437.57%,+196.50%,-188.75%,+202.00%,+728.00%,+2565.20%,+1494.50%,+1404.70%,+210.75%,-170.50%,+803.00%,+346.00%,+2198.00%,+1306.00%,+1026.00%,+204.50%,-172.50%,+511.00%,+410.00%,+2214.35%,+1080.00%,+1342.50%,+200.75%,-166.75%,+308.00%,+201.00%,+24.00%
K60,ΨRØÇKYΨ,+287.60%,+268.60%,+302.10%,+41.50%,-41.50%,+600.00%,+251.36%,+1124.00%,+1350.50%,+885.99%,+49.00%,-60.75%,+126.00%,+338.00%,+2227.20%,+1543.20%,+1242.00%,+166.75%,-138.75%,+528.00%,+300.00%,+1878.00%,+1626.35%,+1123.00%,+154.25%,-144.75%,+466.00%,+228.00%,+1296.50%,+620.00%,+870.00%,+54.50%,-48.50%,+239.00%,+130.00%,+24.50%
K60,Jepp,+281.60%,+245.10%,+287.10%,+41.50%,-39.00%,+575.52%,+210.48%,+1203.00%,+1375.50%,+950.99%,+53.10%,-62.60%,+110.00%,+268.00%,+2219.20%,+1425.20%,+1184.00%,+160.50%,-120.50%,+433.00%,+183.00%,+2077.00%,+1648.85%,+1194.50%,+169.00%,-144.75%,+498.00%,+257.00%,+1329.00%,+622.00%,+957.00%,+60.50%,-34.50%,+74.00%,+36.00%,+24.50%
K60,kvisteer,+324.35%,+273.60%,+309.10%,+43.75%,-41.50%,+600.00%,+227.48%,+1340.00%,+1513.50%,+1123.99%,+49.00%,-75.00%,+141.00%,+407.00%,+2295.70%,+1528.20%,+1286.00%,+171.75%,-128.50%,+334.00%,+196.00%,+2185.00%,+1731.35%,+1256.50%,+181.75%,-144.75%,+500.00%,+363.00%,+1455.00%,+737.00%,+953.50%,+64.50%,-41.00%,+120.00%,+86.00%,+25.00%
K60,Blud,+311.60%,+255.10%,+275.60%,+41.50%,-41.50%,+600.00%,+237.76%,+1236.00%,+1518.50%,+1010.99%,+61.75%,-70.00%,+101.00%,+404.00%,+2136.70%,+1772.20%,+1253.00%,+154.25%,-132.75%,+400.00%,+245.00%,+1933.00%,+1623.35%,+904.50%,+162.75%,-136.75%,+457.00%,+224.00%,+1325.00%,+710.00%,+923.50%,+51.00%,-39.00%,+103.00%,+66.00%,+24.00%
K60,陰影Sam,+295.35%,+266.60%,+306.60%,+43.75%,-41.50%,+385.16%,+282.24%,+1071.50%,+1393.50%,+896.99%,+49.00%,-68.75%,+90.00%,+322.00%,+2135.20%,+1529.20%,+1217.00%,+161.00%,-132.50%,+400.00%,+185.00%,+2088.00%,+1692.35%,+1109.00%,+169.75%,-144.75%,+519.00%,+261.00%,+1157.50%,+603.50%,+870.50%,+51.50%,-41.00%,+116.00%,+77.00%,+24.00%
K60,RONINtrike,+418.96%,+277.60%,+311.60%,+43.75%,-41.50%,+600.00%,+441.96%,+1525.00%,+1746.92%,+944.57%,+160.50%,-148.50%,+173.00%,+700.00%,+2023.50%,+1329.50%,+1004.00%,+182.50%,-138.75%,+504.00%,+369.00%,+2156.00%,+1343.00%,+937.00%,+192.75%,-140.75%,+588.00%,+308.00%,+2103.20%,+1074.70%,+1182.00%,+176.75%,-128.50%,+436.00%,+195.00%,+23.50%
K60,雪Snowy,+338.85%,+271.60%,+306.60%,+43.75%,-41.50%,+600.00%,+243.36%,+1173.00%,+1472.00%,+957.49%,+49.00%,-63.50%,+96.00%,+232.00%,+2248.70%,+1753.20%,+1226.00%,+167.25%,-132.50%,+467.00%,+283.00%,+2119.00%,+1721.35%,+913.50%,+171.25%,-140.75%,+498.00%,+297.00%,+1445.00%,+652.00%,+921.50%,+59.00%,-41.00%,+84.00%,+63.00%,+24.50%
K60,Lare,+315.10%,+258.10%,+268.60%,+41.50%,-41.50%,+398.40%,+285.48%,+926.00%,+1371.57%,+910.99%,+49.00%,-51.75%,+72.00%,+134.00%,+2229.20%,+1591.20%,+1270.50%,+160.50%,-143.25%,+316.00%,+194.00%,+1959.00%,+1676.35%,+1132.50%,+152.25%,-123.75%,+229.00%,+105.00%,+1188.00%,+639.50%,+814.00%,+54.50%,-41.00%,+49.00%,+46.00%,+24.00%
K60,Legendⁱᵃᵐ,+356.35%,+281.85%,+307.35%,+41.50%,-43.75%,+350.04%,+299.24%,+1041.50%,+1437.50%,+947.99%,+49.00%,-68.00%,+228.00%,+700.00%,+2014.70%,+1520.20%,+1158.00%,+158.25%,-146.75%,+574.00%,+411.00%,+1934.00%,+1560.35%,+1069.50%,+166.75%,-136.75%,+593.00%,+294.00%,+1161.00%,+712.00%,+889.50%,+51.00%,-49.00%,+258.00%,+146.00%,+22.00%
K60,°Silent°,+406.96%,+274.10%,+351.10%,+43.75%,-47.50%,+600.00%,+542.40%,+1800.00%,+2101.92%,+1125.57%,+186.50%,-209.50%,+239.00%,+700.00%,+2115.50%,+1487.50%,+944.00%,+197.75%,-188.50%,+588.00%,+420.00%,+2273.00%,+1570.00%,+1006.00%,+201.50%,-172.50%,+621.00%,+306.00%,+2204.70%,+1168.70%,+1363.50%,+176.75%,-184.50%,+372.00%,+171.00%,+24.00%
K91,•Pain•,+454.10%,+414.10%,+424.10%,+47.50%,-47.50%,+533.28%,+600.00%,+1713.20%,+2645.00%,+2272.70%,+186.50%,-236.50%,+714.00%,+900.00%,+2734.35%,+2128.00%,+1815.00%,+214.50%,-196.50%,+900.00%,+900.00%,+2056.50%,+1622.00%,+1504.35%,+214.50%,-194.50%,+900.00%,+663.00%,+1847.00%,+1291.50%,+1557.50%,+204.50%,-194.50%,+900.00%,+788.00%,+25.50%
K91,Trinità,+299.10%,+258.10%,+278.10%,+39.00%,-39.00%,+527.88%,+128.50%,+1194.50%,+1837.92%,+1144.07%,+55.25%,-52.75%,+109.00%,+588.00%,+2009.20%,+1309.00%,+1320.70%,+145.75%,-124.75%,+436.00%,+234.00%,+1675.50%,+1201.00%,+841.50%,+152.00%,-136.75%,+560.00%,+256.00%,+1464.35%,+731.50%,+923.50%,+46.00%,-25.00%,+146.00%,+63.00%,+24.00%
K91,λTλ⁵⁷βЄЧ,+378.96%,+281.10%,+316.60%,+43.75%,-41.50%,+600.00%,+174.52%,+906.20%,+1812.54%,+1256.07%,+142.75%,-154.50%,+180.00%,+502.00%,+1279.00%,+1267.00%,+970.70%,+150.25%,-134.75%,+290.00%,+126.00%,+2652.55%,+2082.70%,+1153.00%,+166.75%,-151.00%,+522.00%,+315.00%,+1119.70%,+636.70%,+431.00%,+62.00%,-48.50%,+117.00%,+86.00%,+24.50%
K91,Antoni,+362.21%,+266.60%,+260.60%,+41.50%,-41.50%,+547.00%,+177.50%,+938.20%,+1546.54%,+1089.07%,+56.05%,-55.05%,+213.00%,+263.00%,+1155.50%,+1056.00%,+718.70%,+148.25%,-136.75%,+114.00%,+77.00%,+2257.55%,+1646.70%,+795.00%,+154.25%,-123.75%,+430.00%,+299.00%,+1159.70%,+759.20%,+400.00%,+60.75%,-47.25%,+96.00%,+77.00%,+22.00%
